Player,touches,paint_touches,paint_fgm,paint_fga,paint_ftm,paint_fta,paint_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_paint,paint_pass_pct,paint_ast_pct,paint_to_pct,Foul%,possessions,Touches Per Poss,paint_per_poss,season_year,player
Ayo Dosunmu,3687,64,18,37,10,12,46,15,2,3,6,0.4865,0.7188,0.2344,0.0312,0.0469,0.0938,3955,0.9322,0.0162,2026,Ayo Dosunmu
Bam Adebayo,4101,296,118,179,35,44,275,73,12,10,22,0.6592,0.9291,0.2466,0.0405,0.0338,0.0743,4885,0.8395,0.0606,2026,Bam Adebayo
Baylor Scheierman,1655,37,8,10,0,0,16,23,4,2,0,0.8,0.4324,0.6216,0.1081,0.0541,0.0,2799,0.5913,0.0132,2026,Baylor Scheierman
Ben Saraf,2122,32,10,16,4,4,24,12,1,1,2,0.625,0.75,0.375,0.0312,0.0312,0.0625,1876,1.1311,0.0171,2026,Ben Saraf
Ben Sheppard,2203,53,11,20,4,6,26,29,3,0,3,0.55,0.4906,0.5472,0.0566,0.0,0.0566,2931,0.7516,0.0181,2026,Ben Sheppard
Bennedict Mathurin,2769,129,51,72,37,43,142,26,4,4,20,0.7083,1.1008,0.2016,0.031,0.031,0.155,3342,0.8285,0.0386,2026,Bennedict Mathurin
Bez Mbeng,619,25,9,13,1,2,19,8,2,1,0,0.6923,0.76,0.32,0.08,0.04,0.0,1080,0.5731,0.0231,2026,Bez Mbeng
Bilal Coulibaly,2543,112,44,64,14,20,106,28,4,7,10,0.6875,0.9464,0.25,0.0357,0.0625,0.0893,3139,0.8101,0.0357,2026,Bilal Coulibaly
Bismack Biyombo,163,22,8,13,1,2,17,4,0,2,1,0.6154,0.7727,0.1818,0.0,0.0909,0.0455,280,0.5821,0.0786,2026,Bismack Biyombo
Blake Hinson,360,13,5,10,0,0,10,2,1,1,0,0.5,0.7692,0.1538,0.0769,0.0769,0.0,609,0.5911,0.0213,2026,Blake Hinson
Blake Wesley,772,14,5,9,0,0,10,4,1,1,0,0.5556,0.7143,0.2857,0.0714,0.0714,0.0,766,1.0078,0.0183,2026,Blake Wesley
Bobby Portis,3048,173,75,118,10,14,163,38,8,6,6,0.6356,0.9422,0.2197,0.0462,0.0347,0.0347,3207,0.9504,0.0539,2026,Bobby Portis
Bobi Klintman,101,9,1,4,0,0,2,4,1,0,0,0.25,0.2222,0.4444,0.1111,0.0,0.0,150,0.6733,0.06,2026,Bobi Klintman
Bogdan Bogdanovic,786,6,2,4,0,0,4,1,1,1,0,0.5,0.6667,0.1667,0.1667,0.1667,0.0,886,0.8871,0.0068,2026,Bogdan Bogdanovic
Bogdan BogdanoviÄ‡,786,6,2,4,0,0,4,1,1,1,0,0.5,0.6667,0.1667,0.1667,0.1667,0.0,886,0.8871,0.0068,2026,Bogdan Bogdanovi
Bones Hyland,2754,20,4,7,0,0,8,12,2,1,0,0.5714,0.4,0.6,0.1,0.05,0.0,2447,1.1255,0.0082,2026,Bones Hyland
Bradley Beal,177,7,2,4,4,4,8,1,1,0,2,0.5,1.1429,0.1429,0.1429,0.0,0.2857,243,0.7284,0.0288,2026,Bradley Beal
Branden Carlson,727,109,56,73,8,12,121,23,7,6,6,0.7671,1.1101,0.211,0.0642,0.055,0.055,1000,0.727,0.109,2026,Branden Carlson
Brandin Podziemski,4846,127,35,52,7,8,78,59,10,6,4,0.6731,0.6142,0.4646,0.0787,0.0472,0.0315,4721,1.0265,0.0269,2026,Brandin Podziemski
Brandon Clarke,27,5,2,4,0,0,4,1,1,0,0,0.5,0.8,0.2,0.2,0.0,0.0,47,0.5745,0.1064,2026,Brandon Clarke
