Player,Touches,Elbow Touches,FGM,FGA,FTM,FTA,Points,Passes,Assists,Turnovers,Fouls,FG%,Points Per Elbow Touch,Pass%,Ast%,TO%,Foul%,Possessions,Touches Per Poss,Elbow Touches Per Poss,season_year
Donovan Clingan,3230,126,22,41,18,30,66,60,20,7,14,0.5366,0.5238,0.4762,0.1587,0.0556,0.1111,4351,0.7424,0.029,2026
Donovan Mitchell,4842,29,12,14,1,2,25,12,3,0,1,0.8571,0.8621,0.4138,0.1034,0.0,0.0345,4827,1.0031,0.006,2026
Donte DiVincenzo,4422,18,3,3,0,0,6,14,1,1,0,1.0,0.3333,0.7778,0.0556,0.0556,0.0,5136,0.861,0.0035,2026
Dorian Finney-Smith,741,10,0,1,0,0,0,9,1,0,0,0.0,0.0,0.9,0.1,0.0,0.0,1244,0.5957,0.008,2026
Doug McDermott,570,5,2,3,0,0,4,2,0,0,0,0.6667,0.8,0.4,0.0,0.0,0.0,906,0.6291,0.0055,2026
Drake Powell,1847,20,5,7,0,0,10,13,1,0,0,0.7143,0.5,0.65,0.05,0.0,0.0,2637,0.7004,0.0076,2026
Draymond Green,4591,133,9,22,6,12,24,91,19,10,6,0.4091,0.1805,0.6842,0.1429,0.0752,0.0451,3766,1.2191,0.0353,2026
Drew Eubanks,666,80,21,43,3,6,47,26,0,8,3,0.4884,0.5875,0.325,0.0,0.1,0.0375,1140,0.5842,0.0702,2026
Drew Peterson,78,2,0,0,0,0,0,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,128,0.6094,0.0156,2026
Drew Timme,374,16,3,6,0,0,6,9,2,1,0,0.5,0.375,0.5625,0.125,0.0625,0.0,458,0.8166,0.0349,2026
Dru Smith,2247,31,9,14,0,0,19,16,2,0,0,0.6429,0.6129,0.5161,0.0645,0.0,0.0,2386,0.9417,0.013,2026
Duncan Robinson,2455,10,5,7,1,2,11,2,1,0,1,0.7143,1.1,0.2,0.1,0.0,0.1,4316,0.5688,0.0023,2026
Duop Reath,305,9,3,5,0,0,6,4,1,0,0,0.6,0.6667,0.4444,0.1111,0.0,0.0,545,0.5596,0.0165,2026
Dwight Powell,1108,87,15,23,17,26,50,49,7,1,13,0.6522,0.5747,0.5632,0.0805,0.0115,0.1494,1911,0.5798,0.0455,2026
Dylan Cardwell,1057,89,11,27,0,4,24,52,15,3,3,0.4074,0.2697,0.5843,0.1685,0.0337,0.0337,1850,0.5714,0.0481,2026
Dylan Harper,3274,43,10,19,3,4,24,20,2,1,2,0.5263,0.5581,0.4651,0.0465,0.0233,0.0465,3211,1.0196,0.0134,2026
Dyson Daniels,4909,150,48,69,1,2,98,65,14,9,1,0.6957,0.6533,0.4333,0.0933,0.06,0.0067,5304,0.9255,0.0283,2026
E.J. Liddell,493,20,4,6,1,2,10,12,2,0,0,0.6667,0.5,0.6,0.1,0.0,0.0,706,0.6983,0.0283,2026
Egor DÃ«min,2810,20,6,8,0,0,13,11,2,0,0,0.75,0.65,0.55,0.1,0.0,0.0,2650,1.0604,0.0075,2026
Elijah Harkless,914,5,1,2,0,0,2,3,0,0,0,0.5,0.4,0.6,0.0,0.0,0.0,1159,0.7886,0.0043,2026
Emanuel Miller,44,1,1,1,0,0,2,0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,69,0.6377,0.0145,2026
Enrique Freeman,42,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.4941,0.0118,2026
Eric Gordon,103,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,150,0.6867,0.0,2026
Ethan Thompson,976,10,3,5,2,4,8,2,0,1,1,0.6,0.8,0.2,0.0,0.1,0.1,1352,0.7219,0.0074,2026
