player,team,minutes,off_poss,pts,fg2m,fg2a,Fg2Pct,fg3m,fg3a,Fg3Pct,non_heave_fg3_pct,ft_pts,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,assisted_2s_pct,NonPutbacksAssisted2sPct,assisted_3s_pct,fg3a_rate,shot_quality,efg_pct,ts_pct,pts_putbacks,fg2a_blocked,FG2APctBlocked,fg3a_blocked,FG3APctBlocked,usage,ppp,creation_rate
Kevon Looney,NOP,58,120,9,3,11,0.2727272727272727,1,4,0.25,0.25,0,4,2,3,0,0.6666666666666666,1.0,1.0,0.2666666666666666,0.5371766666666666,0.3,0.28125,2,2,0.1818181818181818,0,0.0,12.142857142857144,0.075,0.1667
Kobe Brown,IND,58,119,25,7,12,0.5833333333333334,3,7,0.4285714285714285,0.4285714285714285,2,10,4,9,0,0.7142857142857143,1.0,1.0,0.3684210526315789,0.6140894736842105,0.6052631578947368,0.625,4,0,0.0,0,0.0,16.666666666666664,0.2101,0.1429
Trendon Watford,PHI,57,112,37,15,19,0.7894736842105263,2,4,0.5,0.5,1,18,12,6,0,0.6,0.6428571428571429,1.0,0.1739130434782608,0.54995,0.782608695652174,0.8043478260869565,2,0,0.0,0,0.0,21.25984251968504,0.3304,0.2
Jamir Watkins,WAS,57,118,10,4,7,0.5714285714285714,0,5,0.0,0.0,2,2,6,0,0,0.25,0.5,0.0,0.4166666666666667,0.5962041666666666,0.3333333333333333,0.3571428571428571,4,0,0.0,0,0.0,10.44776119402985,0.0847,0.875
Cam Thomas,BKN,57,116,27,7,18,0.3888888888888889,2,5,0.4,0.4,7,6,8,3,3,0.4285714285714285,0.5,0.5,0.217391304347826,0.4997304347826087,0.4347826086956521,0.5,2,0,0.0,0,0.0,22.13740458015267,0.2328,0.5357
Nicolas Batum,LAC,56,116,3,0,0,0.0,1,9,0.1111111111111111,0.1111111111111111,0,0,0,3,0,0.0,0.0,1.0,1.0,0.5868333333333333,0.1666666666666666,0.1666666666666666,0,0,0.0,0,0.0,7.317073170731708,0.0259,0.5
Kam Jones,IND,55,122,21,3,8,0.375,5,9,0.5555555555555556,0.5555555555555556,0,4,2,15,0,0.6666666666666666,0.6666666666666666,1.0,0.5294117647058824,0.5636911764705882,0.6176470588235294,0.6176470588235294,0,1,0.125,0,0.0,13.235294117647058,0.1721,0.1667
Julian Reese,WAS,55,110,18,8,15,0.5333333333333333,0,0,0.0,0.0,2,10,6,0,0,0.625,0.8333333333333334,0.0,0.0,0.5218333333333333,0.5333333333333333,0.5,4,3,0.2,0,0.0,17.96875,0.1636,0.6875
Tyrese Martin,BKN,53,108,14,3,6,0.5,2,6,0.3333333333333333,0.3333333333333333,2,6,0,6,0,1.0,1.0,1.0,0.5,0.5648083333333332,0.5,0.5384615384615384,0,2,0.3333333333333333,0,0.0,10.236220472440944,0.1296,0.0
Javonte Green,DET,51,107,19,1,4,0.25,5,8,0.625,0.625,2,0,2,15,0,0.0,0.0,1.0,0.6666666666666666,0.5507124999999999,0.7083333333333334,0.7307692307692307,2,0,0.0,0,0.0,10.769230769230768,0.1776,0.5
Mohamed Diawara,NYK,51,107,28,5,10,0.5,6,15,0.4,0.4,0,8,2,15,3,0.8,0.8,0.8333333333333334,0.6,0.591826,0.56,0.56,0,1,0.1,0,0.0,21.36752136752137,0.2617,0.1833
DaRon Holmes II,DEN,50,93,18,0,1,0.0,6,9,0.6666666666666666,0.6666666666666666,0,0,0,18,0,0.0,0.0,1.0,0.9,0.5741050000000001,0.9,0.9,0,0,0.0,0,0.0,12.244897959183673,0.1935,0.5
Leonard Miller,CHI,49,104,15,2,5,0.4,3,10,0.3,0.3,2,4,0,9,0,1.0,1.0,1.0,0.6666666666666666,0.64286,0.4333333333333333,0.46875,0,0,0.0,0,0.0,14.782608695652176,0.1442,0.0
Ben Saraf,BKN,49,103,7,2,6,0.3333333333333333,0,4,0.0,0.0,3,2,2,0,0,0.5,0.5,0.0,0.4,0.5596850000000001,0.2,0.2916666666666667,0,0,0.0,1,0.25,15.04424778761062,0.068,0.75
Klay Thompson,DAL,49,101,28,5,6,0.8333333333333334,5,10,0.5,0.5,3,8,2,15,0,0.8,0.8,1.0,0.625,0.5263249999999999,0.78125,0.7941176470588235,0,1,0.1666666666666666,0,0.0,17.5,0.2772,0.1
Marcus Sasser,DET,48,92,21,2,6,0.3333333333333333,5,9,0.5555555555555556,0.5555555555555556,2,2,2,15,0,0.5,0.5,1.0,0.6,0.55803,0.6333333333333333,0.65625,0,0,0.0,0,0.0,15.238095238095235,0.2283,0.25
Kevin Love,UTA,47,95,11,1,2,0.5,3,13,0.2307692307692307,0.2307692307692307,0,2,0,9,0,1.0,1.0,1.0,0.8666666666666667,0.5630533333333333,0.3666666666666666,0.3666666666666666,0,0,0.0,0,0.0,17.475728155339805,0.1158,0.0
Micah Potter,IND,46,98,25,4,6,0.6666666666666666,3,8,0.375,0.375,8,8,0,9,0,1.0,1.0,1.0,0.5714285714285714,0.6082535714285715,0.6071428571428571,0.6944444444444444,0,1,0.1666666666666666,0,0.0,18.34862385321101,0.2551,0.0
Luka Garza,BOS,44,84,18,5,5,1.0,1,8,0.125,0.125,5,10,0,3,0,1.0,1.0,1.0,0.6153846153846154,0.6018,0.5,0.6,0,0,0.0,0,0.0,16.494845360824744,0.2143,0.0
Jabari Walker,PHI,44,91,6,3,9,0.3333333333333333,0,1,0.0,0.0,0,4,2,0,0,0.6666666666666666,1.0,0.0,0.1,0.6107799999999999,0.3,0.3,2,5,0.5555555555555556,0,0.0,10.185185185185183,0.0659,0.6667
Rayan Rupert,MEM,44,87,2,1,6,0.1666666666666666,0,0,0.0,0.0,0,2,0,0,0,1.0,1.0,0.0,0.0,0.5858499999999999,0.1666666666666666,0.1666666666666666,0,2,0.3333333333333333,0,0.0,6.862745098039215,0.023,0.5
Scoot Henderson,POR,44,87,14,4,10,0.4,2,7,0.2857142857142857,0.2857142857142857,0,0,8,3,3,0.0,0.0,0.5,0.4117647058823529,0.5329382352941177,0.4117647058823529,0.4117647058823529,2,4,0.4,0,0.0,18.26923076923077,0.1609,0.75
Jordan Poole,NOP,44,89,23,3,8,0.375,5,10,0.5,0.5,2,2,4,15,0,0.3333333333333333,0.5,1.0,0.5555555555555556,0.5361666666666667,0.5833333333333334,0.5789473684210527,2,2,0.25,0,0.0,22.01834862385321,0.2584,0.3333
Jonas Valančiūnas,DEN,43,80,29,12,20,0.6,0,2,0.0,0.0,5,10,14,0,0,0.4166666666666667,0.625,0.0,0.0909090909090909,0.561559090909091,0.5454545454545454,0.6041666666666666,8,3,0.15,0,0.0,28.26086956521739,0.3625,0.7917
Leaky Black,WAS,43,88,10,2,6,0.3333333333333333,2,5,0.4,0.4,0,2,2,6,0,0.5,0.5,1.0,0.4545454545454545,0.5735,0.4545454545454545,0.4545454545454545,0,0,0.0,0,0.0,12.264150943396226,0.1136,0.25
Jaden Ivey,CHI,42,87,23,5,7,0.7142857142857143,3,8,0.375,0.375,4,6,4,9,0,0.6,0.75,1.0,0.5333333333333333,0.5396433333333334,0.6333333333333333,0.6764705882352942,2,0,0.0,0,0.0,19.791666666666668,0.2644,0.2
Ronald Holland II,DET,41,86,11,2,6,0.3333333333333333,2,9,0.2222222222222222,0.2222222222222222,1,0,4,6,0,0.0,0.0,1.0,0.6,0.5416633333333334,0.3333333333333333,0.34375,0,1,0.1666666666666666,0,0.0,18.26923076923077,0.1279,0.5
Scotty Pippen Jr.,MEM,40,86,14,4,7,0.5714285714285714,2,6,0.3333333333333333,0.3333333333333333,0,4,4,6,0,0.5,0.5,1.0,0.4615384615384615,0.5538346153846154,0.5384615384615384,0.5384615384615384,0,0,0.0,0,0.0,20.21276595744681,0.1628,0.25
Daeqwon Plowden,SAC,40,86,28,8,9,0.8888888888888888,3,8,0.375,0.375,3,14,2,9,0,0.875,1.0,1.0,0.4705882352941176,0.5184705882352941,0.7352941176470589,0.7777777777777778,2,1,0.1111111111111111,0,0.0,22.82608695652174,0.3256,0.0625
Pete Nance,MIL,40,83,15,3,4,0.75,3,9,0.3333333333333333,0.3333333333333333,0,4,2,9,0,0.6666666666666666,0.6666666666666666,1.0,0.6923076923076923,0.5562076923076924,0.5769230769230769,0.5769230769230769,0,0,0.0,0,0.0,15.730337078651685,0.1807,0.1667
Jaden Hardy,DAL,39,82,25,4,7,0.5714285714285714,5,15,0.3333333333333333,0.3333333333333333,2,4,4,15,0,0.5,0.5,1.0,0.6818181818181818,0.5850727272727273,0.5227272727272727,0.5434782608695652,0,1,0.1428571428571428,0,0.0,26.37362637362637,0.3049,0.25
Anfernee Simons,CHI,37,75,19,3,4,0.75,4,11,0.3636363636363636,0.3636363636363636,1,2,4,9,3,0.3333333333333333,0.3333333333333333,0.75,0.7333333333333333,0.5254800000000001,0.6,0.6,0,0,0.0,0,0.0,21.951219512195124,0.2533,0.4583
T.J. McConnell,IND,37,77,19,8,16,0.5,1,3,0.3333333333333333,0.3333333333333333,0,0,16,3,0,0.0,0.0,1.0,0.1578947368421052,0.5059263157894737,0.5,0.5,0,1,0.0625,0,0.0,23.59550561797753,0.2468,0.5
Nick Richards,PHX,36,73,13,5,7,0.7142857142857143,1,1,1.0,1.0,0,6,4,3,0,0.6,1.0,1.0,0.125,0.663325,0.8125,0.8125,4,1,0.1428571428571428,0,0.0,12.987012987012989,0.1781,0.2
Walker Kessler,UTA,36,70,20,5,8,0.625,2,2,1.0,1.0,4,8,2,6,0,0.8,1.0,1.0,0.2,0.554885,0.8,0.7692307692307693,2,2,0.25,0,0.0,19.047619047619047,0.2857,0.1
Walter Clayton Jr.,MEM,34,73,13,1,3,0.3333333333333333,3,9,0.3333333333333333,0.3333333333333333,2,0,2,6,3,0.0,0.0,0.6666666666666666,0.75,0.5646083333333335,0.4583333333333333,0.5,0,1,0.3333333333333333,0,0.0,19.047619047619047,0.1781,0.6667
Jahmai Mashack,MEM,33,67,7,2,4,0.5,1,2,0.5,0.5,0,4,0,3,0,1.0,1.0,1.0,0.3333333333333333,0.57745,0.5833333333333334,0.5833333333333334,0,0,0.0,0,0.0,11.842105263157894,0.1045,0.0
Anthony Gill,WAS,32,65,11,5,7,0.7142857142857143,0,1,0.0,0.0,1,6,4,0,0,0.6,1.0,0.0,0.125,0.4734312499999999,0.625,0.6875,4,1,0.1428571428571428,1,1.0,12.857142857142858,0.1692,0.7
Christian Koloko,MEM,32,66,4,1,5,0.2,0,2,0.0,0.0,2,2,0,0,0,1.0,1.0,0.0,0.2857142857142857,0.5988071428571429,0.1428571428571428,0.25,0,2,0.4,0,0.0,12.857142857142858,0.0606,0.5
