bbref_id,nba_id,player_name,source,confidence
jarrede01,1630610,DeJon Jarreau,stub_reconstruction,high
jeffrda01,1629610,DaQuan Jeffries,stub_reconstruction,high
jemistr01,1641998,Trey Jemison III,stub_reconstruction,high
jenkida01,1642450,Daniss Jenkins,stub_reconstruction,high
jeromty01,1629660,Ty Jerome,stub_reconstruction,high
joeis01,1630198,Isaiah Joe,stub_reconstruction,high
johnsaj01,1642358,AJ Johnson,stub_reconstruction,high
johnsal02,1628993,Alize Johnson,authoritative,high
johnsbj01,1629168,BJ Johnson,authoritative,high
johnsca02,1629661,Cameron Johnson,stub_reconstruction,high
johnsda08,1630525,David Johnson,stub_reconstruction,high
johnsja01,201949,James Johnson,authoritative,high
johnsjo02,2207,Joe Johnson,authoritative,high
johnsst04,1626169,Stanley Johnson,authoritative,high
johnsty01,204020,Tyler Johnson,authoritative,high
jokicni01,203999,Nikola Jokic,authoritative,high
jonesca03,1630637,Carlik Jones,stub_reconstruction,high
jonesco02,1641732,Colby Jones,stub_reconstruction,high
jonesda03,1627745,Damian Jones,authoritative,high
jonesde02,1627884,Derrick Jones Jr.,authoritative,high
jonesdi01,1641794,Dillon Jones,stub_reconstruction,high
joneshe01,1630529,Herbert Jones,stub_reconstruction,high
jonesis01,1642403,Isaac Jones,stub_reconstruction,high
jonesje01,1629203,Jemerrio Jones,authoritative,high
jonesma05,1630222,Mason Jones,stub_reconstruction,high
jonessp01,1642461,Spencer Jones,stub_reconstruction,high
jonesty01,1626145,Tyus Jones,authoritative,high
jordade01,201599,DeAndre Jordan,authoritative,high
josepco01,202709,Cory Joseph,authoritative,high
jovicni01,1631107,Nikola Jovic,stub_reconstruction,high
juzanjo01,1630548,Johnny Juzang,stub_reconstruction,high
kabenmf01,1629662,Mfiondu Kabengele,stub_reconstruction,high
kalaige01,1630686,Georgios Kalaitzakis,stub_reconstruction,high
kaminfr01,1626163,Frank Kaminsky,authoritative,high
kanteen01,202683,Enes Freedom,authoritative,high
kawamyu01,1642530,Yuki Kawamura,stub_reconstruction,high
keelstr01,1631211,Trevor Keels,stub_reconstruction,high
kelleky01,1630283,Kylor Kelley,stub_reconstruction,high
kennalu01,1628379,Luke Kennard,authoritative,high
kesslwa01,1631117,Walker Kessler,stub_reconstruction,high
keybr01,1630296,Braxton Key,stub_reconstruction,high
kingge03,1628994,George King,authoritative,high
kinglo02,1629663,Louis King,stub_reconstruction,high
kispeco01,1630557,Corey Kispert,stub_reconstruction,high
klebima01,1628467,Maxi Kleber,authoritative,high
klintbo01,1641752,Bobi Klintman,stub_reconstruction,high
knechda01,1642261,Dalton Knecht,stub_reconstruction,high
