entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence,open_cs_fg3a,open_cs_fg3m,open_cs_3_rate,open_cs_fg3_pct,off_drbl_fg3a,off_drbl_fg3m,off_drbl_fg2a,off_drbl_fg2m,off_drbl_rate,off_drbl_fg3_pct,contested_fg3a,contested_fg2a,contested_shot_rate,wide_open_fg3a,wide_open_fg3m,three_rate_sz,total_fga_sz
2207,2015,,,,,,,,,,,,,,,,,,,253.0,137.0,,310.0,120.0,826.0,0.5242,0.3063,0.3753,-0.891,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2207,2016,,,,,,,,,,,,,,,,,,,253.0,137.0,,310.0,120.0,826.0,0.5242,0.3063,0.3753,-0.891,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2207,2017,,,,,,,,,,,,,,,,,,,151.0,86.0,,257.0,106.0,611.0,0.5303,0.2471,0.4206,-1.738,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2207,2022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,5.0,1.95,0.0,0.0,tracking,low,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2210,2014,,,,,,,,,,,,,,,,,,,184.0,124.0,,297.0,123.0,623.0,0.5706,0.2953,0.4767,1.15,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2210,2015,,,,,,,,,,,,,,,,,,,87.0,61.0,,173.0,66.0,301.0,0.5847,0.289,0.5747,1.44,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2210,2016,,,,,,,,,,,,,,,,,,,87.0,61.0,,173.0,66.0,301.0,0.5847,0.289,0.5747,1.44,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2210,2017,,,,,,,,,,,,,,,,,,,111.0,81.0,,185.0,62.0,325.0,0.5661,0.3415,0.5692,1.602,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2215,2014,,,,,,,,,,,,,,,,,,,10.0,7.0,,3.0,0.0,22.0,0.4998,0.4543,0.1363,-0.725,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2216,2014,,,,,,,,,,,,,,,,,,,725.0,416.0,,20.0,2.0,1082.0,0.5185,0.67,0.0185,1.338,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2216,2015,,,,,,,,,,,,,,,,,,,500.0,290.0,,25.0,6.0,835.0,0.5198,0.5988,0.0299,0.474,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2216,2016,,,,,,,,,,,,,,,,,,,500.0,290.0,,25.0,6.0,835.0,0.5198,0.5988,0.0299,0.474,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2216,2017,,,,,,,,,,,,,,,,,,,493.0,295.0,,94.0,21.0,895.0,0.4955,0.5508,0.105,-0.179,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2222,2014,,,,,,,,,,,,,,,,,,,134.0,91.0,,63.0,19.0,213.0,0.5892,0.6291,0.2958,2.862,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2223,2014,,,,,,,,,,,,,,,,,,,284.0,190.0,,1.0,0.0,341.0,0.6275,0.8328,0.0029,2.688,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2224,2014,,,,,,,,,,,,,,,,,,,2.0,2.0,,15.0,1.0,18.0,0.2499,0.111,0.8329,-2.338,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2225,2014,,,,,,,,,,,,,,,,,,,436.0,269.0,,67.0,25.0,858.0,0.546,0.5082,0.0781,1.025,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2225,2015,,,,,,,,,,,,,,,,,,,296.0,181.0,,64.0,27.0,670.0,0.541,0.4418,0.0955,0.025,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2225,2016,,,,,,,,,,,,,,,,,,,296.0,181.0,,64.0,27.0,670.0,0.541,0.4418,0.0955,0.025,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2225,2017,,,,,,,,,,,,,,,,,,,241.0,137.0,,65.0,21.0,515.0,0.5233,0.468,0.1262,-0.402,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2225,2019,,,,,,,,,,,,,,,,,,,223.0,116.0,187.0,51.0,13.0,461.0,0.474,0.4837,0.1106,-0.026,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
2229,2014,,,,,,,,,,,,,,,,,,,5.0,2.0,,5.0,1.0,19.0,0.2893,0.263,0.263,-2.725,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2248,2014,,,,,,,,,,,,,,,,,,,2.0,1.0,,6.0,2.0,10.0,0.3996,0.1998,0.5994,-2.138,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2365,2014,,,,,,,,,,,,,,,,,,,222.0,165.0,,12.0,3.0,259.0,0.6892,0.8571,0.0463,2.963,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2365,2015,,,,,,,,,,,,,,,,,,,44.0,31.0,,14.0,4.0,66.0,0.606,0.6666,0.2121,2.646,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2365,2016,,,,,,,,,,,,,,,,,,,44.0,31.0,,14.0,4.0,66.0,0.606,0.6666,0.2121,2.646,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2365,2017,,,,,,,,,,,,,,,,,,,13.0,8.0,,3.0,0.0,20.0,0.4498,0.6497,0.1499,0.093,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2399,2014,,,,,,,,,,,,,,,,,,,165.0,95.0,,321.0,123.0,752.0,0.5246,0.2194,0.4269,-1.75,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2399,2015,,,,,,,,,,,,,,,,,,,49.0,32.0,,99.0,39.0,177.0,0.5452,0.2768,0.5593,0.638,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2399,2016,,,,,,,,,,,,,,,,,,,49.0,32.0,,99.0,39.0,177.0,0.5452,0.2768,0.5593,0.638,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2399,2017,,,,,,,,,,,,,,,,,,,47.0,30.0,,133.0,53.0,213.0,0.561,0.2206,0.6244,0.031,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2400,2014,,,,,,,,,,,,,,,,,,,50.0,36.0,,17.0,7.0,128.0,0.5976,0.3906,0.1328,0.706,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2400,2015,,,,,,,,,,,,,,,,,,,33.0,16.0,,40.0,7.0,97.0,0.3762,0.3402,0.4123,-1.509,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2400,2016,,,,,,,,,,,,,,,,,,,33.0,16.0,,40.0,7.0,97.0,0.3762,0.3402,0.4123,-1.509,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2403,2014,,,,,,,,,,,,,,,,,,,300.0,189.0,,5.0,1.0,562.0,0.5311,0.5338,0.0089,0.425,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2403,2015,,,,,,,,,,,,,,,,,,,235.0,159.0,,3.0,0.0,362.0,0.5773,0.6492,0.0083,1.611,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2403,2016,,,,,,,,,,,,,,,,,,,235.0,159.0,,3.0,0.0,362.0,0.5773,0.6492,0.0083,1.611,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2403,2017,,,,,,,,,,,,,,,,,,,266.0,207.0,,9.0,3.0,361.0,0.6828,0.7368,0.0249,2.518,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2403,2019,,,,,,,,,,,,,,,,,,,78.0,46.0,35.0,3.0,0.0,116.0,0.5172,0.6724,0.0259,0.0172,,,,,shot_zones,high,,,,,,,,,,,,,,,,,
2405,2014,,,,,,,,,,,,,,,,,,,335.0,223.0,,0.0,0.0,525.0,0.5924,0.6381,0.0,1.463,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2405,2015,,,,,,,,,,,,,,,,,,,147.0,104.0,,0.0,0.0,192.0,0.651,0.7656,0.0,2.027,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2405,2016,,,,,,,,,,,,,,,,,,,147.0,104.0,,0.0,0.0,192.0,0.651,0.7656,0.0,2.027,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2406,2014,,,,,,,,,,,,,,,,,,,40.0,21.0,,242.0,97.0,518.0,0.499,0.0772,0.4672,-2.475,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
2406,2015,,,,,,,,,,,,,,,,,,,4.0,2.0,,18.0,3.0,59.0,0.4491,0.0678,0.305,-2.962,,,,,nba_shotzone,medium,,,,,,,,,,,,,,,,,
