entity_id,season_year,drives,pts_per_drive,cov_proxy,adj_ast,pva_proxy,elbow_touches,paint_touches,post_touches,total_touches,miv_proxy,oreb,dreb,oreb_contested,dreb_contested,rpv_proxy,def_rim_fgm,def_rim_fga,dsv_proxy,rim_fga,rim_fgm,mid_fga,fg3a,fg3m,total_fga,overall_efg,rim_rate,three_rate,ptv_proxy,off_poss,minutes,stl,blk,data_source,confidence
200782,2023,21.0,0.0952380952380952,0.0005300821627352,77.0,0.0204081632653061,34.0,153.0,3.0,1575.0,0.1206349206349206,95.0,200.0,55.0,40.0,0.1537216828478964,105.0,151.0,0.695364238410596,,,,,,,,,,,3773.0,1920.11,39.0,15.0,tracking,high
200782,2024,9.0,0.0,0.0,18.0,0.0187695516162669,10.0,37.0,0.0,415.0,0.1132530120481927,28.0,57.0,11.0,12.0,0.1446540880503144,36.0,45.0,0.8,,,,,,,,,,,959.0,486.34,16.0,7.0,tracking,high
200794,2019,,,,,,,,,,,,,,,,,,,395.0,220.0,112.0,159.0,58.0,666.0,0.527027027027027,0.5930930930930931,0.2387387387387387,0.0270270270270269,,,,,shot_zones,high
200794,2020,,,,,,,,,,,,,,,,,,,243.0,132.0,70.0,124.0,54.0,437.0,0.5446224256292906,0.5560640732265446,0.2837528604118993,0.0446224256292906,,,,,shot_zones,high
200794,2021,,,,,,,,,,,,,,,,,,,211.0,124.0,43.0,142.0,49.0,396.0,0.5391414141414141,0.5328282828282829,0.3585858585858585,0.0391414141414141,,,,,shot_zones,high
200794,2022,45.0,0.4222222222222222,0.0250329380764163,32.0,0.0421607378129117,28.0,70.0,14.0,587.0,0.1908006814310051,41.0,73.0,30.0,23.0,0.2488262910798122,53.0,83.0,0.6385542168674698,,,,,,,,,,,759.0,375.73,10.0,13.0,tracking,high
200826,2019,,,,,,,,,,,,,,,,,,,149.0,70.0,107.0,128.0,38.0,384.0,0.4661458333333333,0.3880208333333333,0.3333333333333333,-0.0338541666666666,,,,,shot_zones,high
200826,2020,,,,,,,,,,,,,,,,,,,81.0,38.0,41.0,85.0,32.0,207.0,0.4879227053140096,0.391304347826087,0.4106280193236715,-0.0120772946859903,,,,,shot_zones,high
201142,2019,,,,,,,,,,,,,,,,,,,382.0,258.0,605.0,386.0,136.0,1373.0,0.5710123816460306,0.2782228696285506,0.2811361981063365,0.0710123816460306,,,,,shot_zones,high
201142,2021,,,,,,,,,,,,,,,,,,,145.0,101.0,269.0,189.0,85.0,603.0,0.6077943615257048,0.2404643449419568,0.3134328358208955,0.1077943615257047,,,,,shot_zones,high
201142,2022,537.0,0.7262569832402235,0.0916999764871855,430.0,0.101105102280743,198.0,117.0,194.0,4024.0,0.1264910536779324,29.0,378.0,8.0,102.0,0.1705426356589147,114.0,199.0,0.5728643216080402,,,,,,,,,,,4253.0,2047.38,48.0,52.0,tracking,high
201142,2023,414.0,0.9371980676328504,0.113950073421439,305.0,0.0895741556534508,118.0,57.0,153.0,3117.0,0.1052293872313121,17.0,296.0,6.0,85.0,0.1816367265469061,124.0,224.0,0.5535714285714286,,,,,,,,,,,3405.0,1671.72,34.0,67.0,tracking,high
201142,2024,719.0,0.7385257301808067,0.0939158118146444,503.0,0.0889635656172621,140.0,110.0,217.0,5252.0,0.0889185072353389,40.0,445.0,16.0,92.0,0.1422924901185771,167.0,275.0,0.6072727272727273,,,,,,,,,,,5654.0,2753.19,68.0,91.0,tracking,high
201143,2019,,,,,,,,,,,,,,,,,,,317.0,206.0,203.0,203.0,73.0,723.0,0.5857538035961273,0.4384508990318119,0.280774550484094,0.0857538035961272,,,,,shot_zones,high
201143,2020,,,,,,,,,,,,,,,,,,,260.0,146.0,165.0,283.0,99.0,708.0,0.5204802259887006,0.3672316384180791,0.3997175141242938,0.0204802259887005,,,,,shot_zones,high
