iapi_rank,player,position,season,sfposs,rapm_raw,rapm_shrunk,se,tau,lam,ci90_lo,ci90_hi,ci95_lo,ci95_hi,cri80_lo,cri80_hi,cri95_lo,cri95_hi,pi80_lo,pi80_hi,pi95_lo,pi95_hi,ii_lo,ii_hi,ci95_width,cri95_width,pi95_width,p_replacement,p_rotation,p_starter,p_all_star,p_all_nba,p_mvp_tier,n_seasons,career_std,sigma_game_est,p_top5,p_top10,p_top25,median_rank,rank_90_lo,rank_90_hi,uncertainty_grade,portability_grade,iapi
108,Buddy Hield,guard,2024,24104.0,-0.16,-0.132,0.317,0.308,0.923,-0.68,0.36,-0.78,0.46,-0.53,0.26,-0.74,0.47,-0.7,0.43,-1.0,0.73,-0.88,0.62,1.24,1.21,1.73,1.0,0.334,0.0,0.0,0.0,0.0,10,1.159,3.478,0.001,0.001,0.066,125,17,173,A,B,-0.634
109,Daniel Theis,guard,2024,10489.0,-0.39,-0.296,0.345,0.323,0.84,-0.96,0.18,-1.07,0.29,-0.71,0.12,-0.93,0.34,-0.9,0.31,-1.22,0.63,-1.05,0.45,1.35,1.26,1.85,1.0,0.18,0.0,0.0,0.0,0.0,5,0.727,2.5,0.116,0.18,0.268,99,1,181,A,A,-0.676
110,Scottie Barnes,guard,2024,14629.0,-0.52,-0.433,0.3,0.282,0.88,-1.01,-0.03,-1.11,0.07,-0.79,-0.07,-0.99,0.12,-0.95,0.09,-1.23,0.36,-1.18,0.32,1.18,1.1,1.59,1.0,0.062,0.0,0.0,0.0,0.0,5,0.647,2.5,0.023,0.086,0.17,89,9,176,A,A,-0.768
111,Jalen Smith,guard,2024,7007.0,-0.45,-0.306,0.449,0.416,0.778,-1.19,0.29,-1.33,0.43,-0.84,0.23,-1.12,0.51,-1.09,0.48,-1.5,0.89,-1.06,0.44,1.76,1.63,2.4,1.0,0.231,0.0,0.0,0.0,0.0,5,0.885,2.655,0.0,0.0,0.046,96,30,166,A,A,-0.78
112,Alperen Sengun,guard,2024,11567.0,-0.21,-0.15,0.54,0.508,0.853,-1.1,0.68,-1.27,0.85,-0.8,0.5,-1.15,0.85,-1.1,0.8,-1.6,1.3,-0.9,0.6,2.12,1.99,2.91,1.0,0.384,0.001,0.0,0.0,0.0,5,1.369,4.107,0.0,0.0,0.097,71,25,127,A,B,-0.815
113,Taylor Hendricks,guard,2024,1745.0,-1.0,-0.359,0.846,0.579,0.466,-2.39,0.39,-2.66,0.66,-1.1,0.38,-1.49,0.77,-1.67,0.96,-2.37,1.65,-1.11,0.39,3.32,2.27,4.02,0.998,0.267,0.001,0.0,0.0,0.0,2,0.615,2.5,0.04,0.045,0.197,74,22,161,B,C,-0.833
114,Deandre Ayton,big,2024,17876.0,-0.55,-0.505,0.3,0.282,0.899,-1.04,-0.06,-1.14,0.04,-0.87,-0.14,-1.06,0.05,-1.0,-0.01,-1.26,0.25,-1.25,0.25,1.18,1.1,1.51,1.0,0.037,0.0,0.0,0.0,0.0,8,0.629,2.5,0.0,0.003,0.074,93,18,170,A,A,-0.835
115,Cade Cunningham,guard,2024,9251.0,-0.38,-0.277,0.515,0.48,0.822,-1.23,0.47,-1.39,0.63,-0.89,0.34,-1.22,0.66,-1.18,0.63,-1.66,1.1,-1.03,0.47,2.02,1.88,2.76,1.0,0.282,0.0,0.0,0.0,0.0,5,1.169,3.506,0.0,0.0,0.0,43,27,154,A,B,-0.868
116,Markelle Fultz,guard,2024,10694.0,-0.81,-0.651,0.342,0.302,0.842,-1.37,-0.25,-1.48,-0.14,-1.04,-0.26,-1.24,-0.06,-1.24,-0.07,-1.55,0.24,-1.4,0.1,1.34,1.18,1.79,1.0,0.016,0.0,0.0,0.0,0.0,5,0.288,2.5,0.079,0.107,0.189,86,2,174,A,A+,-0.888
117,Anthony Black,guard,2024,2333.0,-1.09,-0.495,0.732,0.506,0.538,-2.29,0.11,-2.52,0.34,-1.14,0.15,-1.49,0.5,-1.64,0.65,-2.24,1.25,-1.24,0.26,2.87,1.98,3.49,0.999,0.164,0.0,0.0,0.0,0.0,3,0.47,2.5,0.073,0.073,0.124,67,5,167,A,B,-0.889
118,Malcolm Brogdon,guard,2024,15446.0,-0.55,-0.464,0.323,0.312,0.885,-1.08,-0.02,-1.18,0.08,-0.86,-0.06,-1.07,0.15,-1.04,0.11,-1.34,0.42,-1.21,0.29,1.27,1.22,1.76,1.0,0.068,0.0,0.0,0.0,0.0,9,0.947,2.842,0.0,0.0,0.0,60,27,134,A,A,-0.904
119,Payton Pritchard,guard,2024,9278.0,-0.76,-0.59,0.367,0.331,0.823,-1.36,-0.16,-1.48,-0.04,-1.01,-0.17,-1.24,0.06,-1.22,0.04,-1.56,0.38,-1.34,0.16,1.44,1.3,1.94,1.0,0.037,0.0,0.0,0.0,0.0,4,0.571,2.5,0.011,0.046,0.158,97,13,177,A,A,-0.927
120,Luke Kornet,big,2024,5592.0,-0.45,-0.358,0.61,0.547,0.737,-1.45,0.55,-1.65,0.75,-1.06,0.34,-1.43,0.71,-1.41,0.69,-1.96,1.25,-1.11,0.39,2.39,2.14,3.21,0.999,0.257,0.0,0.0,0.0,0.0,5,1.075,3.225,0.026,0.026,0.035,104,26,135,B,B,-0.954
121,Kyle Anderson,guard,2024,17215.0,-0.68,-0.588,0.3,0.288,0.896,-1.17,-0.19,-1.27,-0.09,-0.96,-0.22,-1.15,-0.02,-1.1,-0.08,-1.37,0.19,-1.34,0.16,1.18,1.13,1.56,1.0,0.02,0.0,0.0,0.0,0.0,11,0.855,2.565,0.023,0.08,0.165,90,9,177,A,A,-0.988
122,Bruce Brown,guard,2024,18111.0,-0.53,-0.457,0.382,0.368,0.901,-1.16,0.1,-1.28,0.22,-0.93,0.01,-1.18,0.26,-1.14,0.22,-1.5,0.58,-1.21,0.29,1.5,1.44,2.08,1.0,0.107,0.0,0.0,0.0,0.0,8,1.212,3.636,0.002,0.017,0.191,87,13,175,A,B,-1.005
123,Tyler Herro,guard,2024,17906.0,-0.36,-0.304,0.528,0.506,0.9,-1.23,0.51,-1.39,0.67,-0.95,0.34,-1.3,0.69,-1.24,0.63,-1.74,1.13,-1.05,0.45,2.07,1.98,2.87,1.0,0.274,0.0,0.0,0.0,0.0,6,1.665,4.996,0.0,0.007,0.13,90,14,170,A,C,-1.056
124,Thaddeus Young,guard,2024,10690.0,-0.69,-0.55,0.451,0.425,0.842,-1.43,0.05,-1.57,0.19,-1.09,-0.0,-1.38,0.28,-1.34,0.25,-1.77,0.67,-1.3,0.2,1.77,1.67,2.43,1.0,0.098,0.0,0.0,0.0,0.0,16,1.1,3.301,0.0,0.001,0.046,96,30,170,A,B,-1.092
125,Keldon Johnson,guard,2024,18006.0,-0.65,-0.565,0.37,0.357,0.9,-1.26,-0.04,-1.38,0.08,-1.02,-0.11,-1.26,0.13,-1.22,0.09,-1.57,0.44,-1.32,0.18,1.45,1.4,2.02,1.0,0.057,0.0,0.0,0.0,0.0,7,1.171,3.514,0.009,0.04,0.167,97,13,177,A,B,-1.095
126,Richaun Holmes,guard,2024,10135.0,-0.85,-0.677,0.363,0.345,0.835,-1.45,-0.25,-1.56,-0.14,-1.12,-0.23,-1.35,-0.0,-1.32,-0.03,-1.66,0.3,-1.43,0.07,1.42,1.35,1.96,1.0,0.025,0.0,0.0,0.0,0.0,8,0.862,2.586,0.017,0.06,0.162,97,10,177,A,A,-1.108
127,Nikola Vucevic,guard,2024,24264.0,-0.5,-0.447,0.424,0.411,0.924,-1.2,0.2,-1.33,0.33,-0.97,0.08,-1.25,0.36,-1.2,0.31,-1.61,0.71,-1.2,0.3,1.66,1.61,2.32,1.0,0.139,0.0,0.0,0.0,0.0,13,1.558,4.675,0.023,0.09,0.152,94,6,177,A,C,-1.12
128,Zach Lavine,guard,2024,20410.0,-0.12,-0.091,0.692,0.666,0.911,-1.26,1.02,-1.48,1.24,-0.94,0.76,-1.4,1.21,-1.32,1.14,-1.97,1.79,-0.84,0.66,2.71,2.61,3.76,0.998,0.445,0.008,0.0,0.0,0.0,12,2.332,6.995,0.0,0.005,0.11,90,14,170,B,D,-1.124
129,Harrison Barnes,guard,2024,24905.0,-0.77,-0.698,0.3,0.29,0.926,-1.26,-0.28,-1.36,-0.18,-1.07,-0.33,-1.27,-0.13,-1.21,-0.19,-1.48,0.08,-1.45,0.05,1.18,1.14,1.56,1.0,0.008,0.0,0.0,0.0,0.0,14,1.017,3.051,0.023,0.079,0.166,90,9,177,A,B,-1.148
130,D'Angelo Russell,guard,2024,19644.0,-0.42,-0.363,0.537,0.517,0.908,-1.3,0.46,-1.47,0.63,-1.02,0.3,-1.38,0.65,-1.32,0.59,-1.82,1.1,-1.11,0.39,2.11,2.03,2.92,0.999,0.241,0.0,0.0,0.0,0.0,11,1.776,5.327,0.0,0.001,0.042,96,30,170,B,C,-1.154
